Duty Id,Start Time,End Time,Start Stop Description,End Stop Description,Break Start Time,Break Duration,Break Stop Name
1,03:25,11:39,Montclair Transit Center,Hope and 9th,"[""07:39"",""08:52"",""10:19""]","[19,36,26]","[""MTC Layover"",""PTC Layover"",""Claremont Transit Center""]"
2,13:00,23:21,Pomona Transit Center,Montclair Transit Center,"[""18:22""]",[36],"[""MTC Layover""]"
3,03:30,10:40,Pomona Transit Center,Puente Hills Mall,"[""05:02"",""07:40""]","[42,20]","[""Puente Hills Mall Layover"",""Valley and Temple Layover""]"
4,13:00,23:23,El Monte Station,Puente Hills Mall,"[""17:27""]",[56],"[""Valley and Temple Layover""]"
5,04:00,12:32,Pomona Transit Center,Puente Hills Mall,"[""06:00"",""07:27"",""11:10""]","[19,44,18]","[""EMS Layover"",""Valley and Temple Layover"",""MTC Layover""]"
6,13:13,23:45,Pomona Transit Center,Claremont Transit Center,"[""17:53""]",[40],"[""PTC Layover""]"
7,04:10,11:38,Montclair Transit Center,Hope and 9th,"[""06:39""]",[43],"[""CiCo Layover""]"
8,13:18,22:23,Pomona Transit Center,Ridgeway and Valley,"[""18:19""]",[39],"[""PTC Layover""]"
9,04:15,12:02,Citrus Gold Line Station,El Monte Station,"[""09:02"",""10:48""]","[56,17]","[""PTC Layover"",""Brea Mall Transit Center""]"
10,13:18,23:19,Figueroa and 9th,San Dimas Park and Ride,"[""15:58"",""18:53"",""21:08""]","[16,40,20]","[""San Dimas Park and Ride"",""MTC Layover"",""EMS Layover""]"
11,04:21,11:58,San Dimas Park and Ride,Hope and 9th,"[""08:06""]",[37],"[""Valley and Temple Layover""]"
12,13:20,22:48,Temple Ave and S. Campus Dr,Puente Hills Mall,"[""18:49""]",[36],"[""Grand Ave Park and Ride""]"
13,04:25,12:01,Montclair Transit Center,Hope and 9th,"[""06:54"",""10:25""]","[49,18]","[""Puente Hills Mall Layover"",""EMS Layover""]"
14,13:23,22:17,El Monte Station,Citrus Gold Line Station,"[""15:48""]",[49],"[""CiCo Layover""]"
15,04:30,12:43,Pomona Transit Center,Puente Hills Mall,"[""09:27""]",[36],"[""MTC Layover""]"
16,14:35,23:26,Citrus Gold Line Station,El Monte Station,"[""20:16""]",[37],"[""Valley and Temple Layover""]"
17,04:35,13:02,Puente Hills Mall,Beach and La Habra,"[""06:12"",""09:56""]","[23,39]","[""Beach and La Habra"",""Beach and La Habra""]"
18,13:13,21:53,Pomona Transit Center,Puente Hills Mall,"[""14:46"",""16:31""]","[28,57]","[""Puente Hills Mall Layover"",""PTC Layover""]"
19,04:40,12:57,Temple Ave and S. Campus Dr,El Monte Station,"[""08:09"",""10:42""]","[54,16]","[""MTC Layover"",""EMS Layover""]"
20,14:35,22:58,Puente Hills Mall,Beach and La Habra,"[""17:27"",""19:39""]","[26,39]","[""Puente Hills Mall Layover"",""Grand Ave Park and Ride""]"
21,04:44,13:43,Industry Park & Ride,Hope and 9th,"[""10:34""]",[59],"[""PTC Layover""]"
22,14:10,22:22,Temple Ave and S. Campus Dr,El Monte Station,"[""19:15""]",[38],"[""Valley and Temple Layover""]"
23,04:50,12:35,Pomona Transit Center,Puente Hills Mall,"[""10:30""]",[54],"[""Puente Hills Mall Layover""]"
24,14:55,00:42,Temple Ave and S. Campus Dr,El Monte Station,"[""18:16""]",[51],"[""CiCo Layover""]"
25,05:10,13:38,Montclair Transit Center,El Monte Station,"[""08:32""]",[41],"[""Valley and Temple Layover""]"
26,14:33,23:50,Figueroa and 9th,San Dimas Park and Ride,"[""20:18""]",[40],"[""PTC Layover""]"
27,15:00,00:26,Pomona Transit Center,Montclair Transit Center,"[""20:17"",""22:43""]","[56,20]","[""MTC Layover"",""EMS Layover""]"
28,15:01,22:49,Pomona Transit Center,Ridgeway and Valley,"[""15:18"",""17:19"",""20:38""]","[17,39,20]","[""Pomona Transit Center"",""PTC Layover"",""EMS Layover""]"
29,15:25,01:05,Temple Ave and S. Campus Dr,El Monte Station,"[""18:45"",""20:17""]","[21,57]","[""CiCo Layover"",""Puente Hills Mall Layover""]"
30,15:35,01:13,Citrus Gold Line Station,El Monte Station,"[""17:57"",""19:44""]","[16,38]","[""EMS Layover"",""CiCo Layover""]"
31,15:43,00:05,Montclair Transit Center,El Monte Station,"[""20:52"",""22:38""]","[36,16]","[""PTC Layover"",""Puente Hills Mall Layover""]"
32,16:05,23:45,Pomona Transit Center,Ridgeway and Valley,"[""19:46"",""21:22""]","[28,36]","[""Puente Hills Mall Layover"",""PTC Layover""]"
33,16:13,00:03,Pomona Transit Center,Puente Hills Mall,"[""18:02"",""20:57""]","[17,46]","[""Puente Hills Mall Layover"",""MTC Layover""]"
34,07:47,19:39,Montclair Transit Center,Hope and 9th,"[""10:30"",""13:01"",""15:27"",""16:57""]","[58,51,16,17]","[""EMS Layover"",""CiCo Layover"",""EMS Layover"",""Valley and Temple Layover""]"
35,08:59,20:12,Temple Ave and S. Campus Dr,El Monte Station,"[""10:35"",""14:38""]","[23,56]","[""EMS Layover"",""Valley and Temple Layover""]"
36,09:10,20:22,Temple Ave and S. Campus Dr,El Monte Station,"[""10:50"",""14:54""]","[23,51]","[""EMS Layover"",""Valley and Temple Layover""]"
37,05:30,19:05,Montclair Transit Center,Hope and 9th,"[""09:21""]",[263],"[""Pomona Yard""]"
38,05:30,19:09,Pomona Transit Center,Brea Mall Transit Center,"[""09:11""]",[258],"[""Pomona Yard""]"
39,05:30,19:04,Montclair Transit Center,El Monte Station,"[""09:49""]",[265],"[""Pomona Yard""]"
40,05:30,19:03,Citrus Gold Line Station,El Monte Station,"[""07:49"",""09:36"",""14:11""]","[19,267,19]","[""EMS Layover"",""Pomona Yard"",""Citrus Gold Line Station""]"
41,05:42,19:18,Montclair Transit Center,Hope and 9th,"[""11:03""]",[237],"[""Pomona Yard""]"
42,05:46,19:23,Temple Ave and S. Campus Dr,El Monte Station,"[""10:50""]",[250],"[""Valley and Temple Layover""]"
43,05:50,19:10,Montclair Transit Center,El Monte Station,"[""07:53"",""09:19""]","[17,251]","[""EMS Layover"",""Valley and Temple Layover""]"
44,05:50,19:19,Pomona Transit Center,Montclair Transit Center,"[""09:01"",""10:46"",""16:20""]","[27,254,18]","[""EMS Layover"",""Pomona Yard"",""Claremont Transit Center""]"
45,05:50,19:25,Pomona Transit Center,Puente Hills Mall,"[""09:48"",""11:02"",""16:27""]","[17,183,16]","[""Brea Mall Transit Center"",""Pomona Yard"",""Valley and Temple Layover""]"
46,05:55,19:35,Ridgeway and Valley,Pomona Transit Center,"[""10:00""]",[240],"[""Pomona Yard""]"
47,05:55,19:33,Montclair Transit Center,Pomona Transit Center,"[""08:27"",""11:03""]","[16,237]","[""MTC Layover"",""Pomona Yard""]"
48,05:58,19:38,Montclair Transit Center,Hope and 9th,"[""09:56""]",[243],"[""Pomona Yard""]"
49,06:05,19:42,Pomona Transit Center,Ridgeway and Valley,"[""11:39""]",[253],"[""Pomona Yard""]"
50,06:10,19:34,Pomona Transit Center,Puente Hills Mall,"[""09:00"",""11:34"",""18:12""]","[28,286,16]","[""EMS Layover"",""Pomona Yard"",""Towne and Marketplace""]"
51,06:11,19:47,Temple Ave and S. Campus Dr,El Monte Station,"[""07:50"",""10:25""]","[20,307]","[""EMS Layover"",""Pomona Yard""]"
52,06:11,19:05,Montclair Transit Center,El Monte Station,"[""10:10"",""11:22""]","[18,188]","[""MTC Layover"",""PTC Layover""]"
53,06:13,19:51,Montclair Transit Center,Hope and 9th,"[""09:06"",""11:16"",""18:09""]","[17,189,21]","[""Valley and Temple Layover"",""Valley and Temple Layover"",""EMS Layover""]"
